IPR000008, 1, None
IPR002420, 2, IPR000008
IPR014020, 2, IPR000008
IPR000010, 1, None
IPR025760, 2, IPR000010
IPR025764, 2, IPR000010
IPR027358, 2, IPR000010
IPR000011, 1, None
IPR018075, 2, IPR000011
IPR000014, 1, None
IPR013655, 2, IPR000014
IPR013656, 2, IPR000014
IPR013767, 2, IPR000014
IPR000020, 1, None
IPR018081, 2, IPR000020
IPR001840, 3, IPR018081
IPR000026, 1, None
IPR001887, 2, IPR000026
IPR004025, 2, IPR000026
IPR000040, 1, None
IPR016554, 2, IPR000040
IPR000053, 1, None
IPR013466, 2, IPR000053
IPR017713, 3, IPR013466
IPR028579, 3, IPR013466
IPR018090, 2, IPR000053
IPR013465, 3, IPR018090
IPR000056, 1, None
IPR026019, 2, IPR000056
IPR000060, 1, None
IPR023449, 2, IPR000060
IPR000066, 1, None
IPR000079, 1, None
IPR031073, 2, IPR000079
IPR000103, 1, None
IPR005982, 2, IPR000103
IPR012081, 2, IPR000103
IPR017561, 2, IPR000103
IPR022890, 2, IPR000103
IPR023856, 2, IPR000103
IPR000109, 1, None
IPR004768, 2, IPR000109
IPR031125, 3, IPR004768
IPR005279, 2, IPR000109
IPR023517, 3, IPR005279
IPR023777, 3, IPR005279
IPR023778, 3, IPR005279
IPR031124, 2, IPR000109
IPR000116, 1, None
IPR031059, 2, IPR000116
IPR031079, 2, IPR000116
IPR000119, 1, None
IPR005684, 2, IPR000119
IPR005685, 2, IPR000119
IPR005902, 2, IPR000119
IPR000120, 1, None
IPR004412, 2, IPR000120
IPR014087, 2, IPR000120
IPR030560, 2, IPR000120
IPR000131, 1, None
IPR017709, 2, IPR000131
IPR000146, 1, None
IPR023079, 2, IPR000146
IPR028343, 2, IPR000146
IPR000175, 1, None
IPR002434, 2, IPR000175
IPR002435, 2, IPR000175
IPR002436, 2, IPR000175
IPR002438, 2, IPR000175
IPR002944, 2, IPR000175
IPR002980, 2, IPR000175
IPR002981, 2, IPR000175
IPR002982, 2, IPR000175
IPR002983, 2, IPR000175
IPR002984, 2, IPR000175
IPR003028, 2, IPR000175
IPR000176, 1, None
IPR025804, 2, IPR000176
IPR030375, 3, IPR025804
